"ID","GENERO","REGION","EDAD_SEL","NIVEL_EDUCATIVO_AGRUPADO","CANT_MIEMBROS_HOGAR","CANT_DEMANDANTES_TOTAL","CANT_AYUDA_TOTAL","CONDICION_ACTIVIDAD_AGRUPADA","TIPO_HOGAR_NUCLEAR","TSS_GRANGRUPO_TRABAJOTOTAL","TSS_GRANGRUPO_OCUPACIONYAUTOCONSUMO","TSS_GRANGRUPO_TNR","TSS_GRANGRUPO_PERSONALES","TSS_GRUPO_TRABAJOOCUPACION","TSS_GRUPO_DOMESTICO","TSS_GRUPO_CUIDADO","TSS_GRUPO_TNROTROSHOGARES_VOLUNTARIAS","TSS_GRUPO_VOLUNTARIAS","TSS_GRUPO_EDUCACION","TSS_GRUPO_CONVIVENCIA","TSS_GRUPO_USODEMEDIOS","TSS_GRUPO_CUIDADOPERSONAL","TSS_GRUPO_CPERSONALSINDORMIR","TSS_GRUPO_PREPARARCOMIDA"
112610,"Varón","Gran Buenos Aires",42,"Secundario completo",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear incompleto",630,450,180,810,450,180,0,0,0,0,0,140,670,210,100
138176,"Mujer","Gran Buenos Aires",35,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",560,460,100,880,460,100,0,0,0,0,100,110,670,190,40
192097,"Mujer","Gran Buenos Aires",26,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",240,0,240,1200,0,240,0,0,0,0,330,0,870,320,100
185333,"Varón","Gran Buenos Aires",43,"Secundario completo",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",750,395,355,690,395,0,0,355,0,0,0,130,560,200,0
113350,"Varón","Gran Buenos Aires",17,"Primario completo y secundario incompleto",4,0,0,"No ocupado (Desocupado o Inactivo)","Nuclear completo",70,0,70,1370,0,70,0,0,0,260,335,170,605,225,20
169049,"Mujer","Gran Buenos Aires",25,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",530,0,530,910,0,0,0,530,0,0,0,65,845,185,0
178511,"Varón","Gran Buenos Aires",26,"Terciario o universitario incompleto y más",2,0,0,"No ocupado (Desocupado o Inactivo)",NA,20,0,20,1420,0,20,0,0,0,450,335,10,625,205,20
117561,"Mujer","Gran Buenos Aires",42,"Terciario o universitario incompleto y más",3,2,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear incompleto",709.962,0,709.962,729.981,0,113.325,596.612,0,0,0,0,59.994,669.987,169.987,63.33
126084,"Mujer","Gran Buenos Aires",25,"Terciario o universitario incompleto y más",5,0,0,"No ocupado (Desocupado o Inactivo)","Nuclear completo",0,0,0,1440,0,0,0,0,0,765,35,20,620,160,0
133384,"Varón","Gran Buenos Aires",80,"Secundario completo",1,0,0,"No ocupado (Desocupado o Inactivo)","Unipersonal",300,0,300,1140,0,180,0,120,120,0,0,130,1010,150,120
188846,"Mujer","Gran Buenos Aires",42,"Terciario o universitario incompleto y más",7,3,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",555,150,405,885,150,250,155,0,0,0,170,180,535,195,75
101153,"Mujer","Gran Buenos Aires",20,"Terciario o universitario incompleto y más",2,1,1,"No ocupado (Desocupado o Inactivo)",NA,450,0,450,990,0,195,255,0,0,330,0,210,450,210,90
178424,"Varón","Gran Buenos Aires",28,"Secundario completo",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",90,0,90,1350,0,90,0,0,0,0,150,420,780,180,0
160907,"Varón","Gran Buenos Aires",41,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",855,735,120,585,735,120,0,0,0,0,60,165,360,120,70
157143,"Varón","Gran Buenos Aires",27,"Terciario o universitario incompleto y más",5,1,1,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales",NA,279.996,0,279.996,1159.998,0,199.998,79.998,0,0,0,120,319.998,720,60,79.998
175208,"Mujer","Gran Buenos Aires",33,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",810,470,340,630,470,340,0,0,0,0,0,90,540,90,0
147351,"Mujer","Gran Buenos Aires",50,"Secundario completo",3,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",430,280,150,1010,280,90,60,0,0,0,99.999,79.998,830,200,0
146515,"Mujer","Gran Buenos Aires",30,"Hasta primario incompleto",3,1,1,"No ocupado (Desocupado o Inactivo)",NA,0,0,0,1440,0,0,0,0,0,0,300,375,765,285,0
